"time","device_id","humidity","pH","temperature"
"""12/12/2022, 8:41:27 AM""","1","51","8","24"
"""12/5/2022, 9:05:34 PM""","1","51","8","22"
"""12/5/2022, 9:07:58 PM""","1","51","8","22"
"""12/12/2022, 9:14:49 AM""","1","51","8","24"
"""11/29/2022, 12:54:29 PM""","1","51","8","23"
"""12/8/2022, 2:17:20 PM""","1","51","8","24"
"""11/29/2022, 2:08:08 PM""","1","51","8","24"
"""12/6/2022, 7:24:42 PM""","1","50","7","23"
"""12/7/2022, 9:40:19 PM""","1","51","8","24"
"""11/29/2022, 12:54:48 PM""","1","51","8","24"
"""12/5/2022, 9:45:44 PM""","1","51","8","23"
"""12/8/2022, 8:34:17 PM""","1","51","8","24"
"""12/7/2022, 9:39:01 PM""","1","49","6","22"
"""12/6/2022, 7:21:09 PM""","1","50","7","23"
"""12/8/2022, 2:10:51 PM""","1","51","8","24"
"""12/8/2022, 12:39:00 PM""","1","51","8","24"
"""11/29/2022, 1:21:32 PM""","1","51","8","24"
"""12/5/2022, 9:47:38 PM""","1","51","8","24"
"""12/5/2022, 10:47:08 PM""","1","50","7","23"
"""11/30/2022, 1:25:04 PM""","1","51","8","24"
"""12/5/2022, 10:05:24 PM""","1","50","8","23"
"""11/29/2022, 12:38:07 PM""","1","50","7","22"
"""12/5/2022, 9:06:36 PM""","1","51","8","22"
"""12/5/2022, 9:01:55 PM""","1","51","8","24"
"""12/8/2022, 7:50:13 PM""","1","51","8","24"
"""12/5/2022, 9:19:50 PM""","1","51","8","22"
"""12/5/2022, 10:18:21 PM""","1","50","7","23"
"""12/5/2022, 10:05:02 PM""","1","50","6","23"
"""12/5/2022, 9:46:55 PM""","1","51","8","24"
"""12/5/2022, 9:48:44 PM""","1","51","8","24"
"""12/12/2022, 9:16:02 AM""","1","50","7","23"
"""12/7/2022, 9:38:22 PM""","1","50","7","23"
"""12/5/2022, 9:02:17 PM""","1","51","8","22"
"""12/4/2022, 1:43:21 PM""","1","51","8","24"
"""12/5/2022, 9:59:14 PM""","1","51","7","23"
"""12/5/2022, 9:14:30 PM""","1","51","8","22"
"""11/29/2022, 12:53:24 PM""","1","49","6","22"
"""12/6/2022, 7:18:32 PM""","1","50","7","23"
"""12/6/2022, 7:21:27 PM""","1","50","7","23"
"""12/12/2022, 9:15:27 AM""","1","49","6","22"
"""12/10/2022, 11:38:11 PM""","1","51","8","24"
"""12/5/2022, 10:01:43 PM""","1","49","7","23"
"""12/6/2022, 7:20:55 PM""","1","50","7","23"